feature,mean_abs_shap
num__GrLivArea,0.22196422448281258
num__price_per_sqm,0.18621451533100103
num__OverallQual,0.02835218502570313
num__1stFlrSF,0.018292203009080563
num__2ndFlrSF,0.010816664605444226
num__GarageCars,0.006472077890330028
num__YearBuilt,0.004460232467251761
num__OverallCond,0.00345670789696341
num__BsmtFullBath,0.0019934211682158844
num__bed_bath_ratio,0.0012805972350979065
cat__MSZoning_RM,0.0012537627014587134
num__distance_to_ui_km,0.0010633884919064253
num__FullBath,0.0009173178077224299
num__YearRemodAdd,0.0008546556915418593
num__power_reliability,0.0007637775069182228
cat__Neighborhood_OldTown,0.000500004296337389
cat__LotConfig_FR2,0.0003284638366038477
cat__Neighborhood_Sawyer,0.0003283494129765017
cat__Neighborhood_ClearCr,0.0002827581784880972
cat__Neighborhood_NPkVill,0.0002707293713698119
cat__MSZoning_RL,0.00022497269052544147
cat__Neighborhood_BrkSide,0.00022261664427451706
cat__LotConfig_CulDSac,0.00021908502344353072
cat__Neighborhood_Somerst,0.00021752427990256984
cat__LandContour_HLS,0.00015173526563343748
cat__Neighborhood_NridgHt,0.00014977867040396763
cat__Neighborhood_Crawfor,0.00012473558726377364
cat__Neighborhood_CollgCr,0.00012195342687906891
cat__LandContour_Lvl,0.00011528726742211024
cat__MSZoning_FV,0.00010978488072958633
cat__Neighborhood_Edwards,8.18598280022193e-05
cat__LotConfig_Inside,6.801398025224006e-05
cat__Neighborhood_NWAmes,6.143195412026186e-05
cat__Neighborhood_StoneBr,5.8154426785257355e-05
cat__Neighborhood_SWISU,5.773584079970788e-05
cat__LandContour_Bnk,5.647743929785633e-05
cat__Neighborhood_NAmes,4.3484217500028356e-05
cat__Alley_Grvl,4.036582928334442e-05
num__PoolArea,3.2021314458055255e-05
cat__Alley_Pave,2.313084414081334e-05
cat__Neighborhood_Blmngtn,1.6066082824535487e-05
cat__Alley_MISSING,1.5024454914496549e-05
cat__Neighborhood_IDOTRR,1.194585820152162e-05
cat__MSZoning_RH,1.0697699476870747e-05
cat__LotConfig_FR3,9.109187183794859e-06
cat__MSZoning_C (all),6.005917702058933e-06
cat__Neighborhood_MeadowV,5.862960692474181e-06
num__age,0.0
num__flood_risk,0.0
cat__LotConfig_Corner,0.0
cat__LandContour_Low,0.0
cat__Neighborhood_Gilbert,0.0
cat__Neighborhood_Blueste,0.0
cat__Neighborhood_BrDale,0.0
cat__Neighborhood_Mitchel,0.0
cat__Neighborhood_NoRidge,0.0
cat__Neighborhood_SawyerW,0.0
cat__Neighborhood_Timber,0.0
cat__Neighborhood_Veenker,0.0
